Date,Google_Sentiment_Index
2004-01-02,38
2004-01-09,38
2004-01-16,38
2004-01-23,38
2004-01-30,38
2004-02-06,46
2004-02-13,46
2004-02-20,46
2004-02-27,46
2004-03-05,53
2004-03-12,53
2004-03-19,53
2004-03-26,53
2004-04-02,49
2004-04-09,49
2004-04-16,49
2004-04-23,49
2004-04-30,49
2004-05-07,40
2004-05-14,40
2004-05-21,40
2004-05-28,40
2004-06-04,21
2004-06-11,21
2004-06-18,21
2004-06-25,21
2004-07-02,12
2004-07-09,12
2004-07-16,12
2004-07-23,12
2004-07-30,12
2004-08-06,13
2004-08-13,13
2004-08-20,13
2004-08-27,13
2004-09-03,21
2004-09-10,21
2004-09-17,21
2004-09-24,21
2004-10-01,29
2004-10-08,29
2004-10-15,29
2004-10-22,29
2004-10-29,29
2004-11-05,34
2004-11-12,34
2004-11-19,34
2004-11-26,34
2004-12-03,26
2004-12-10,26
2004-12-17,26
2004-12-24,26
2004-12-31,26
2005-01-07,29
2005-01-14,29
2005-01-21,29
2005-01-28,29
2005-02-04,38
2005-02-11,38
2005-02-18,38
2005-02-25,38
2005-03-04,37
2005-03-11,37
2005-03-18,37
2005-03-25,37
2005-04-01,41
2005-04-08,41
2005-04-15,41
2005-04-22,41
2005-04-29,41
2005-05-06,32
2005-05-13,32
2005-05-20,32
2005-05-27,32
2005-06-03,17
2005-06-10,17
2005-06-17,17
2005-06-24,17
2005-07-01,10
2005-07-08,10
2005-07-15,10
2005-07-22,10
2005-07-29,10
2005-08-05,10
2005-08-12,10
2005-08-19,10
2005-08-26,10
2005-09-02,17
2005-09-09,17
2005-09-16,17
2005-09-23,17
2005-09-30,17
2005-10-07,25
2005-10-14,25
2005-10-21,25
2005-10-28,25
2005-11-04,28
2005-11-11,28
2005-11-18,28
2005-11-25,28
2005-12-02,24
2005-12-09,24
2005-12-16,24
2005-12-23,24
2005-12-30,24
2006-01-06,24
2006-01-13,24
2006-01-20,24
2006-01-27,24
2006-02-03,26
2006-02-10,26
2006-02-17,26
2006-02-24,26
2006-03-03,31
2006-03-10,31
2006-03-17,31
2006-03-24,31
2006-03-31,31
2006-04-07,30
2006-04-14,30
2006-04-21,30
2006-04-28,30
2006-05-05,29
2006-05-12,29
2006-05-19,29
2006-05-26,29
2006-06-02,16
2006-06-09,16
2006-06-16,16
2006-06-23,16
2006-06-30,16
2006-07-07,7
2006-07-14,7
2006-07-21,7
2006-07-28,7
2006-08-04,8
2006-08-11,8
2006-08-18,8
2006-08-25,8
2006-09-01,13
2006-09-08,13
2006-09-15,13
2006-09-22,13
2006-09-29,13
2006-10-06,20
2006-10-13,20
2006-10-20,20
2006-10-27,20
2006-11-03,19
2006-11-10,19
2006-11-17,19
2006-11-24,19
2006-12-01,17
2006-12-08,17
2006-12-15,17
2006-12-22,17
2006-12-29,17
2007-01-05,18
2007-01-12,18
2007-01-19,18
2007-01-26,18
2007-02-02,30
